Task,Description,episode,contestant,score,series
4,"Identify the contents of the battered items in this fish and chips order. You may: lick and sniff all of the items, bite into two, squeeze one between your elbows, really stamp on one, look at one through a magnifying glass, and put one in a glass of water.",Episode 6: Absolute casserole. (22 April 2021),Mike Wozniak,2,11
4,"Identify the contents of the battered items in this fish and chips order. You may: lick and sniff all of the items, bite into two, squeeze one between your elbows, really stamp on one, look at one through a magnifying glass, and put one in a glass of water.",Episode 6: Absolute casserole. (22 April 2021),Sarah Kendall,4,11
5,"Live: Tie the very ends of the string to the arms of the glasses, then put the glasses on.",Episode 6: Absolute casserole. (22 April 2021),Charlotte Ritchie,2,11
5,"Live: Tie the very ends of the string to the arms of the glasses, then put the glasses on.",Episode 6: Absolute casserole. (22 April 2021),Jamali Maddix,1,11
5,"Live: Tie the very ends of the string to the arms of the glasses, then put the glasses on.",Episode 6: Absolute casserole. (22 April 2021),Lee Mack,5,11
5,"Live: Tie the very ends of the string to the arms of the glasses, then put the glasses on.",Episode 6: Absolute casserole. (22 April 2021),Mike Wozniak,4,11
5,"Live: Tie the very ends of the string to the arms of the glasses, then put the glasses on.",Episode 6: Absolute casserole. (22 April 2021),Sarah Kendall,3,11
T,Fire as many rubber bands as possible into Alex's bum bag.,Episode 6: Absolute casserole. (22 April 2021),Charlotte Ritchie,–,11
T,Fire as many rubber bands as possible into Alex's bum bag.,Episode 6: Absolute casserole. (22 April 2021),Jamali Maddix,✔,11
T,Fire as many rubber bands as possible into Alex's bum bag.,Episode 6: Absolute casserole. (22 April 2021),Lee Mack,–,11
T,Fire as many rubber bands as possible into Alex's bum bag.,Episode 6: Absolute casserole. (22 April 2021),Mike Wozniak,✘,11
T,Fire as many rubber bands as possible into Alex's bum bag.,Episode 6: Absolute casserole. (22 April 2021),Sarah Kendall,–,11
1,Prize: Best thing to hang on a wall that you wouldn't normally hang on a wall.,Episode 7: You've got no chutzpah. (29 April 2021),Charlotte Ritchie,4,11
1,Prize: Best thing to hang on a wall that you wouldn't normally hang on a wall.,Episode 7: You've got no chutzpah. (29 April 2021),Jamali Maddix,2,11
1,Prize: Best thing to hang on a wall that you wouldn't normally hang on a wall.,Episode 7: You've got no chutzpah. (29 April 2021),Lee Mack,5,11
1,Prize: Best thing to hang on a wall that you wouldn't normally hang on a wall.,Episode 7: You've got no chutzpah. (29 April 2021),Mike Wozniak,1,11
1,Prize: Best thing to hang on a wall that you wouldn't normally hang on a wall.,Episode 7: You've got no chutzpah. (29 April 2021),Sarah Kendall,4,11
2,Complete these tasks. You may not step beyond this line. You had ten minutes from when the fire was lit.,Episode 7: You've got no chutzpah. (29 April 2021),Charlotte Ritchie,2,11
2,Complete these tasks. You may not step beyond this line. You had ten minutes from when the fire was lit.,Episode 7: You've got no chutzpah. (29 April 2021),Jamali Maddix,4,11
2,Complete these tasks. You may not step beyond this line. You had ten minutes from when the fire was lit.,Episode 7: You've got no chutzpah. (29 April 2021),Lee Mack,3,11
2,Complete these tasks. You may not step beyond this line. You had ten minutes from when the fire was lit.,Episode 7: You've got no chutzpah. (29 April 2021),Mike Wozniak,5,11
2,Complete these tasks. You may not step beyond this line. You had ten minutes from when the fire was lit.,Episode 7: You've got no chutzpah. (29 April 2021),Sarah Kendall,1,11
3,Make the best babushka meal. Each course must be presented inside the previous course.,Episode 7: You've got no chutzpah. (29 April 2021),Charlotte Ritchie,2,11
3,Make the best babushka meal. Each course must be presented inside the previous course.,Episode 7: You've got no chutzpah. (29 April 2021),Jamali Maddix,5,11
3,Make the best babushka meal. Each course must be presented inside the previous course.,Episode 7: You've got no chutzpah. (29 April 2021),Lee Mack,4,11
3,Make the best babushka meal. Each course must be presented inside the previous course.,Episode 7: You've got no chutzpah. (29 April 2021),Mike Wozniak,1,11
3,Make the best babushka meal. Each course must be presented inside the previous course.,Episode 7: You've got no chutzpah. (29 April 2021),Sarah Kendall,4,11
4,"Team: Get out of the front gate setting off the alarm the fewest times. Every time the alarm goes off, you must start again. You must only step on your stepping stones.",Episode 7: You've got no chutzpah. (29 April 2021),Charlotte Ritchie,0,11
4,"Team: Get out of the front gate setting off the alarm the fewest times. Every time the alarm goes off, you must start again. You must only step on your stepping stones.",Episode 7: You've got no chutzpah. (29 April 2021),Jamali Maddix,0,11
4,"Team: Get out of the front gate setting off the alarm the fewest times. Every time the alarm goes off, you must start again. You must only step on your stepping stones.",Episode 7: You've got no chutzpah. (29 April 2021),Lee Mack,5,11
4,"Team: Get out of the front gate setting off the alarm the fewest times. Every time the alarm goes off, you must start again. You must only step on your stepping stones.",Episode 7: You've got no chutzpah. (29 April 2021),Mike Wozniak,5,11
4,"Team: Get out of the front gate setting off the alarm the fewest times. Every time the alarm goes off, you must start again. You must only step on your stepping stones.",Episode 7: You've got no chutzpah. (29 April 2021),Sarah Kendall,0,11
5,Live: Make your rubber gloves and wellies as heavy as possible whilst wearing your rubber gloves and wellies. You must only put things in your rubber gloves for the first minute.,Episode 7: You've got no chutzpah. (29 April 2021),Charlotte Ritchie,1,11
5,Live: Make your rubber gloves and wellies as heavy as possible whilst wearing your rubber gloves and wellies. You must only put things in your rubber gloves for the first minute.,Episode 7: You've got no chutzpah. (29 April 2021),Jamali Maddix,1,11
5,Live: Make your rubber gloves and wellies as heavy as possible whilst wearing your rubber gloves and wellies. You must only put things in your rubber gloves for the first minute.,Episode 7: You've got no chutzpah. (29 April 2021),Lee Mack,5,11
5,Live: Make your rubber gloves and wellies as heavy as possible whilst wearing your rubber gloves and wellies. You must only put things in your rubber gloves for the first minute.,Episode 7: You've got no chutzpah. (29 April 2021),Mike Wozniak,2,11
5,Live: Make your rubber gloves and wellies as heavy as possible whilst wearing your rubber gloves and wellies. You must only put things in your rubber gloves for the first minute.,Episode 7: You've got no chutzpah. (29 April 2021),Sarah Kendall,3,11
1,Prize: Most satisfying wobbly thing.,Episode 8: An orderly species. (6 May 2021),Charlotte Ritchie,3,11
1,Prize: Most satisfying wobbly thing.,Episode 8: An orderly species. (6 May 2021),Jamali Maddix,3,11
1,Prize: Most satisfying wobbly thing.,Episode 8: An orderly species. (6 May 2021),Lee Mack,3,11
1,Prize: Most satisfying wobbly thing.,Episode 8: An orderly species. (6 May 2021),Mike Wozniak,3,11
1,Prize: Most satisfying wobbly thing.,Episode 8: An orderly species. (6 May 2021),Sarah Kendall,3,11
2,"Say the word ""metronome"" between every tick of this metronome. You may not touch or stop the metronome. Also, you must blow up and tie a balloon so it's bigger than your head, neatly gift wrap the balloon, and eat three whole poppadoms.",Episode 8: An orderly species. (6 May 2021),Charlotte Ritchie,1,11
2,"Say the word ""metronome"" between every tick of this metronome. You may not touch or stop the metronome. Also, you must blow up and tie a balloon so it's bigger than your head, neatly gift wrap the balloon, and eat three whole poppadoms.",Episode 8: An orderly species. (6 May 2021),Jamali Maddix,4,11
2,"Say the word ""metronome"" between every tick of this metronome. You may not touch or stop the metronome. Also, you must blow up and tie a balloon so it's bigger than your head, neatly gift wrap the balloon, and eat three whole poppadoms.",Episode 8: An orderly species. (6 May 2021),Lee Mack,4,11
2,"Say the word ""metronome"" between every tick of this metronome. You may not touch or stop the metronome. Also, you must blow up and tie a balloon so it's bigger than your head, neatly gift wrap the balloon, and eat three whole poppadoms.",Episode 8: An orderly species. (6 May 2021),Mike Wozniak,5,11
2,"Say the word ""metronome"" between every tick of this metronome. You may not touch or stop the metronome. Also, you must blow up and tie a balloon so it's bigger than your head, neatly gift wrap the balloon, and eat three whole poppadoms.",Episode 8: An orderly species. (6 May 2021),Sarah Kendall,1,11
3,"Team: Draw the best picture of a British animal. Each person must fill in one section at a time and may not look at any other section during that time. Every section must be used, and you may not communicate with each other in any way during the task.",Episode 8: An orderly species. (6 May 2021),Charlotte Ritchie,2,11
3,"Team: Draw the best picture of a British animal. Each person must fill in one section at a time and may not look at any other section during that time. Every section must be used, and you may not communicate with each other in any way during the task.",Episode 8: An orderly species. (6 May 2021),Jamali Maddix,2,11
3,"Team: Draw the best picture of a British animal. Each person must fill in one section at a time and may not look at any other section during that time. Every section must be used, and you may not communicate with each other in any way during the task.",Episode 8: An orderly species. (6 May 2021),Lee Mack,3,11
3,"Team: Draw the best picture of a British animal. Each person must fill in one section at a time and may not look at any other section during that time. Every section must be used, and you may not communicate with each other in any way during the task.",Episode 8: An orderly species. (6 May 2021),Mike Wozniak,3,11
3,"Team: Draw the best picture of a British animal. Each person must fill in one section at a time and may not look at any other section during that time. Every section must be used, and you may not communicate with each other in any way during the task.",Episode 8: An orderly species. (6 May 2021),Sarah Kendall,2,11
4,"Record the greatest aircraft safety announcement then perform the greatest aircraft safety demonstration. Your announcement must be in an accent or language other than your own, and your demonstration must be unforgettable.",Episode 8: An orderly species. (6 May 2021),Charlotte Ritchie,4,11
4,"Record the greatest aircraft safety announcement then perform the greatest aircraft safety demonstration. Your announcement must be in an accent or language other than your own, and your demonstration must be unforgettable.",Episode 8: An orderly species. (6 May 2021),Jamali Maddix,4,11
4,"Record the greatest aircraft safety announcement then perform the greatest aircraft safety demonstration. Your announcement must be in an accent or language other than your own, and your demonstration must be unforgettable.",Episode 8: An orderly species. (6 May 2021),Lee Mack,3,11
4,"Record the greatest aircraft safety announcement then perform the greatest aircraft safety demonstration. Your announcement must be in an accent or language other than your own, and your demonstration must be unforgettable.",Episode 8: An orderly species. (6 May 2021),Mike Wozniak,5,11
4,"Record the greatest aircraft safety announcement then perform the greatest aircraft safety demonstration. Your announcement must be in an accent or language other than your own, and your demonstration must be unforgettable.",Episode 8: An orderly species. (6 May 2021),Sarah Kendall,3,11
5,"Live: Stand on either one leg or both legs. You must do so, one at a time, behind this curtain, with your hands on your head. The Taskmaster will then guess if your standing on either one leg or both legs. If he guesses correctly, you are eliminated.",Episode 8: An orderly species. (6 May 2021),Charlotte Ritchie,1,11
5,"Live: Stand on either one leg or both legs. You must do so, one at a time, behind this curtain, with your hands on your head. The Taskmaster will then guess if your standing on either one leg or both legs. If he guesses correctly, you are eliminated.",Episode 8: An orderly species. (6 May 2021),Jamali Maddix,3,11
5,"Live: Stand on either one leg or both legs. You must do so, one at a time, behind this curtain, with your hands on your head. The Taskmaster will then guess if your standing on either one leg or both legs. If he guesses correctly, you are eliminated.",Episode 8: An orderly species. (6 May 2021),Lee Mack,5,11
5,"Live: Stand on either one leg or both legs. You must do so, one at a time, behind this curtain, with your hands on your head. The Taskmaster will then guess if your standing on either one leg or both legs. If he guesses correctly, you are eliminated.",Episode 8: An orderly species. (6 May 2021),Mike Wozniak,1,11
5,"Live: Stand on either one leg or both legs. You must do so, one at a time, behind this curtain, with your hands on your head. The Taskmaster will then guess if your standing on either one leg or both legs. If he guesses correctly, you are eliminated.",Episode 8: An orderly species. (6 May 2021),Sarah Kendall,3,11
1,Prize: Nattiest knitwear.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Charlotte Ritchie,5,11
1,Prize: Nattiest knitwear.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Jamali Maddix,3,11
1,Prize: Nattiest knitwear.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Lee Mack,4,11
1,Prize: Nattiest knitwear.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Mike Wozniak,4,11
1,Prize: Nattiest knitwear.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Sarah Kendall,2,11
2,Make the most impressive and realistic weather for Taskmaster island. Your weather must last for no more than a minute.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Charlotte Ritchie,5,11
2,Make the most impressive and realistic weather for Taskmaster island. Your weather must last for no more than a minute.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Jamali Maddix,2,11
2,Make the most impressive and realistic weather for Taskmaster island. Your weather must last for no more than a minute.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Lee Mack,1,11
2,Make the most impressive and realistic weather for Taskmaster island. Your weather must last for no more than a minute.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Mike Wozniak,4,11
2,Make the most impressive and realistic weather for Taskmaster island. Your weather must last for no more than a minute.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Sarah Kendall,3,11
3,"Build a tower, then topple your tower so that yoghurt lands in a numbered square. You have one yoghurt and one toppling attempt.",Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Charlotte Ritchie,5,11
3,"Build a tower, then topple your tower so that yoghurt lands in a numbered square. You have one yoghurt and one toppling attempt.",Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Jamali Maddix,3,11
3,"Build a tower, then topple your tower so that yoghurt lands in a numbered square. You have one yoghurt and one toppling attempt.",Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Lee Mack,0,11
3,"Build a tower, then topple your tower so that yoghurt lands in a numbered square. You have one yoghurt and one toppling attempt.",Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Mike Wozniak,0,11
3,"Build a tower, then topple your tower so that yoghurt lands in a numbered square. You have one yoghurt and one toppling attempt.",Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Sarah Kendall,4,11
4,Look the most different in four different photos taken by the camera. The camera will spin round three times and take a picture every time it faces the frame. You must not hinder the camera or the spinning mechanism in any way. You must be in all four photos.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Charlotte Ritchie,4,11
4,Look the most different in four different photos taken by the camera. The camera will spin round three times and take a picture every time it faces the frame. You must not hinder the camera or the spinning mechanism in any way. You must be in all four photos.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Jamali Maddix,2,11
4,Look the most different in four different photos taken by the camera. The camera will spin round three times and take a picture every time it faces the frame. You must not hinder the camera or the spinning mechanism in any way. You must be in all four photos.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Lee Mack,3,11
4,Look the most different in four different photos taken by the camera. The camera will spin round three times and take a picture every time it faces the frame. You must not hinder the camera or the spinning mechanism in any way. You must be in all four photos.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Mike Wozniak,5,11
4,Look the most different in four different photos taken by the camera. The camera will spin round three times and take a picture every time it faces the frame. You must not hinder the camera or the spinning mechanism in any way. You must be in all four photos.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Sarah Kendall,3,11
5,Live: Shove your fish onto the target using your mop. You must shove your fish within 10 seconds of Alex laying down your fish. Furthest from the target ten seconds after each round is eliminated.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Charlotte Ritchie,1,11
5,Live: Shove your fish onto the target using your mop. You must shove your fish within 10 seconds of Alex laying down your fish. Furthest from the target ten seconds after each round is eliminated.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Jamali Maddix,3,11
5,Live: Shove your fish onto the target using your mop. You must shove your fish within 10 seconds of Alex laying down your fish. Furthest from the target ten seconds after each round is eliminated.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Lee Mack,1,11
5,Live: Shove your fish onto the target using your mop. You must shove your fish within 10 seconds of Alex laying down your fish. Furthest from the target ten seconds after each round is eliminated.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Mike Wozniak,5,11
5,Live: Shove your fish onto the target using your mop. You must shove your fish within 10 seconds of Alex laying down your fish. Furthest from the target ten seconds after each round is eliminated.,Episode 9: Mr Octopus and Pottyhands. (13 May 2021),Sarah Kendall,4,11
1,Prize: The thing that makes you look the toughest.,Episode 10: Activate Jamali. (20 May 2021),Charlotte Ritchie,3,11
1,Prize: The thing that makes you look the toughest.,Episode 10: Activate Jamali. (20 May 2021),Jamali Maddix,4,11
1,Prize: The thing that makes you look the toughest.,Episode 10: Activate Jamali. (20 May 2021),Lee Mack,2,11
1,Prize: The thing that makes you look the toughest.,Episode 10: Activate Jamali. (20 May 2021),Mike Wozniak,5,11
1,Prize: The thing that makes you look the toughest.,Episode 10: Activate Jamali. (20 May 2021),Sarah Kendall,1,11
2,Make the best picture of a big scary dinosaur using this photocopier. You may not leave the garage.,Episode 10: Activate Jamali. (20 May 2021),Charlotte Ritchie,2,11
2,Make the best picture of a big scary dinosaur using this photocopier. You may not leave the garage.,Episode 10: Activate Jamali. (20 May 2021),Jamali Maddix,3,11
2,Make the best picture of a big scary dinosaur using this photocopier. You may not leave the garage.,Episode 10: Activate Jamali. (20 May 2021),Lee Mack,4,11
2,Make the best picture of a big scary dinosaur using this photocopier. You may not leave the garage.,Episode 10: Activate Jamali. (20 May 2021),Mike Wozniak,1,11
2,Make the best picture of a big scary dinosaur using this photocopier. You may not leave the garage.,Episode 10: Activate Jamali. (20 May 2021),Sarah Kendall,5,11
3,Scientifically work out how much Alex's feet and head weigh. You may not use the internet.,Episode 10: Activate Jamali. (20 May 2021),Charlotte Ritchie,4[3],11
3,Scientifically work out how much Alex's feet and head weigh. You may not use the internet.,Episode 10: Activate Jamali. (20 May 2021),Jamali Maddix,1,11
3,Scientifically work out how much Alex's feet and head weigh. You may not use the internet.,Episode 10: Activate Jamali. (20 May 2021),Lee Mack,5,11
3,Scientifically work out how much Alex's feet and head weigh. You may not use the internet.,Episode 10: Activate Jamali. (20 May 2021),Mike Wozniak,2,11
3,Scientifically work out how much Alex's feet and head weigh. You may not use the internet.,Episode 10: Activate Jamali. (20 May 2021),Sarah Kendall,3[3],11
4,Team: Direct your teammate into the red circle. You must stay on your chair at all times. You may only issue one instruction of three words every 30 seconds.,Episode 10: Activate Jamali. (20 May 2021),Charlotte Ritchie,2,11
4,Team: Direct your teammate into the red circle. You must stay on your chair at all times. You may only issue one instruction of three words every 30 seconds.,Episode 10: Activate Jamali. (20 May 2021),Jamali Maddix,2,11
4,Team: Direct your teammate into the red circle. You must stay on your chair at all times. You may only issue one instruction of three words every 30 seconds.,Episode 10: Activate Jamali. (20 May 2021),Lee Mack,5,11
4,Team: Direct your teammate into the red circle. You must stay on your chair at all times. You may only issue one instruction of three words every 30 seconds.,Episode 10: Activate Jamali. (20 May 2021),Mike Wozniak,5,11
4,Team: Direct your teammate into the red circle. You must stay on your chair at all times. You may only issue one instruction of three words every 30 seconds.,Episode 10: Activate Jamali. (20 May 2021),Sarah Kendall,2,11
5,"Live: Keeping your head still at all times, correctly don your special outfit. For every second your head is out of the frame, 10 seconds will be added to your time. Put your hands in the air when you are correctly dressed.",Episode 10: Activate Jamali. (20 May 2021),Charlotte Ritchie,5,11
5,"Live: Keeping your head still at all times, correctly don your special outfit. For every second your head is out of the frame, 10 seconds will be added to your time. Put your hands in the air when you are correctly dressed.",Episode 10: Activate Jamali. (20 May 2021),Jamali Maddix,2,11
5,"Live: Keeping your head still at all times, correctly don your special outfit. For every second your head is out of the frame, 10 seconds will be added to your time. Put your hands in the air when you are correctly dressed.",Episode 10: Activate Jamali. (20 May 2021),Lee Mack,3,11
5,"Live: Keeping your head still at all times, correctly don your special outfit. For every second your head is out of the frame, 10 seconds will be added to your time. Put your hands in the air when you are correctly dressed.",Episode 10: Activate Jamali. (20 May 2021),Mike Wozniak,4,11
5,"Live: Keeping your head still at all times, correctly don your special outfit. For every second your head is out of the frame, 10 seconds will be added to your time. Put your hands in the air when you are correctly dressed.",Episode 10: Activate Jamali. (20 May 2021),Sarah Kendall,1,11
