Task,Description,episode,contestant,score,series
2,Make the balloon hover untethered for 20 seconds. During the hovering the top of the balloon must not be higher than your chin and the bottom of the balloon must not be lower than your waist. Also you must sneer throughout the 20 seconds.,Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Mike Wozniak,4,11
2,Make the balloon hover untethered for 20 seconds. During the hovering the top of the balloon must not be higher than your chin and the bottom of the balloon must not be lower than your waist. Also you must sneer throughout the 20 seconds.,Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Sarah Kendall,3,11
3,"Team: Have an argument. You must take it in turns to angrily make a point using nor more than 10 words, and you must always end your point with a different four-letter word. You must look at each other throughout the argument and the person speaking must angrily wag their finger during their speech. The argument is over when there is ten seconds of silence, or when one of you looks away.",Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Charlotte Ritchie,2,11
3,"Team: Have an argument. You must take it in turns to angrily make a point using nor more than 10 words, and you must always end your point with a different four-letter word. You must look at each other throughout the argument and the person speaking must angrily wag their finger during their speech. The argument is over when there is ten seconds of silence, or when one of you looks away.",Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Jamali Maddix,2,11
3,"Team: Have an argument. You must take it in turns to angrily make a point using nor more than 10 words, and you must always end your point with a different four-letter word. You must look at each other throughout the argument and the person speaking must angrily wag their finger during their speech. The argument is over when there is ten seconds of silence, or when one of you looks away.",Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Lee Mack,5,11
3,"Team: Have an argument. You must take it in turns to angrily make a point using nor more than 10 words, and you must always end your point with a different four-letter word. You must look at each other throughout the argument and the person speaking must angrily wag their finger during their speech. The argument is over when there is ten seconds of silence, or when one of you looks away.",Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Mike Wozniak,5,11
3,"Team: Have an argument. You must take it in turns to angrily make a point using nor more than 10 words, and you must always end your point with a different four-letter word. You must look at each other throughout the argument and the person speaking must angrily wag their finger during their speech. The argument is over when there is ten seconds of silence, or when one of you looks away.",Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Sarah Kendall,2,11
4,Make the house haunted.,Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Charlotte Ritchie,3,11
4,Make the house haunted.,Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Jamali Maddix,3,11
4,Make the house haunted.,Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Lee Mack,4,11
4,Make the house haunted.,Episode 2: The Lure of the Treacle Puppies. (25 March 2021),Mike Wozniak,4,11
